,district_name,instruction_total,support_total,community_total,other_total,sum_total,instruction_per_pupil,support_per_pupil,community_per_pupil,other_per_pupil,sum_per_pupil,county,year
7,ALAMOSA RE-11J,9854985,6906565,0,2891497,19653047, 4698 , 3293 , 0 , 1378 , 9369 ,ALAMOSA,2011
8,SANGRE DE CRISTO RE-22J,1729715,1699152,0,1014642,4443509, 5816 , 5713 , 0 , 3412 , 14941 ,ALAMOSA,2011
9,ENGLEWOOD 1,17653095,12953157,177585,6414260,37198098, 6022 , 4419 , 61 , 2188 , 12690 ,ARAPAHOE,2011
10,SHERIDAN 2,10549826,10061700,52498,4567087,25231110, 7083 , 6755 , 35 , 3066 , 16939 ,ARAPAHOE,2011
11,CHERRY CREEK 5,323780400,150242974,1116022,136020063,611159459, 6503 , 3018 , 22 , 2732 , 12275 ,ARAPAHOE,2011
12,LITTLETON 6,84782588,52823735,4783,17185358,154796463, 5679 , 3539 , 0 , 1151 , 10370 ,ARAPAHOE,2011
13,DEER TRAIL 26J,1370559,1039739,23320,30733,2464351, 8724 , 6618 , 148 , 196 , 15687 ,ARAPAHOE,2011
14,ADAMS-ARAPAHOE 28J,194041294,142067306,1350276,262051593,599510470, 5309 , 3887 , 37 , 7169 , 16402 ,ARAPAHOE,2011
15,BYERS 32J,2403715,1961002,48645,1085737,5499099, 5299 , 4323 , 107 , 2394 , 12123 ,ARAPAHOE,2011
16,ARCHULETA COUNTY 50 JT,7239297,6966180,0,940545,15146022, 4884 , 4700 , 0 , 635 , 10218 ,ARCHULETA,2011
17,WALSH RE-1,1183935,953754,0,18146,2155835, 8054 , 6488 , 0 , 123 , 14666 ,BACA,2011
18,PRITCHETT RE-3,694331,609447,0,0,1303777, 10332 , 9069 , 0 , 0 , 19401 ,BACA,2011
19,SPRINGFIELD RE-4,1652702,1138387,0,26331,2817420, 6121 , 4216 , 0 , 98 , 10435 ,BACA,2011
20,VILAS RE-5,1235157,901414,0,291,2136862, 4237 , 3092 , 0 , 1 , 7331 ,BACA,2011
21,CAMPO RE-6,537284,527999,18804,0,1084087, 11033 , 10842 , 386 , 0 , 22261 ,BACA,2011
22,LAS ANIMAS RE-1,2708401,2127892,0,483894,5320186, 5124 , 4026 , 0 , 915 , 10065 ,BENT,2011
23,MCCLAVE RE-2,1473523,1255272,1364,143959,2874118, 5431 , 4627 , 5 , 531 , 10594 ,BENT,2011
24,ST VRAIN VALLEY RE 1J,131469112,96330428,769071,109303868,337872480, 5033 , 3688 , 29 , 4185 , 12935 ,BOULDER,2011
25,BOULDER VALLEY RE 2,180641258,114267073,4798932,79475218,379182480, 6379 , 4035 , 169 , 2807 , 13390 ,BOULDER,2011
