,district_name,county,instruction_total,support_total,community_total,other_total,sum_total,instruction_per_pupil,support_per_pupil,community_per_pupil,other_per_pupil,sum_per_pupil,year
173,PAWNEE RE-12,WELD,1041659,740004,0,61474,1843137,10673.0,7582.0,0.0,630.0,18885.0,2010
174,YUMA 1,YUMA,4431710,3277849,0,1358007,9067566,5596.0,4139.0,0.0,1715.0,11450.0,2010
175,WRAY RD-2,YUMA,3532489,2746335,0,800124,7078947,5378.0,4181.0,0.0,1218.0,10776.0,2010
176,IDALIA RJ-3,YUMA,1154510,810850,0,25002,1990362,8539.0,5997.0,0.0,185.0,14722.0,2010
177,LIBERTY J-4,YUMA,926415,647462,0,25386,1599262,11068.0,7736.0,0.0,303.0,19107.0,2010
178,CHARTER SCHOOL INSTITUTE,,31582803,24642295,49762,14599500,70874360,4156.0,3243.0,7.0,1921.0,9326.0,2010
0,MAPLETON 1,ADAMS,38157232,24772389,1133114,47915629,111978365,5211.0,3383.0,155.0,6544.0,15293.0,2011
1,ADAMS 12 FIVE STAR,ADAMS,222647754,122690063,1234485,204125589,550697892,5417.0,2985.0,30.0,4966.0,13397.0,2011
2,ADAMS COUNTY 14,ADAMS,35356243,37275630,795722,7400225,80827821,5233.0,5517.0,118.0,1095.0,11963.0,2011
3,BRIGHTON 27J,ADAMS,62834937,49692282,261089,61259467,174047775,4239.0,3353.0,18.0,4133.0,11743.0,2011
4,BENNETT 29J,ADAMS,4471446,3839480,0,8277945,16588870,4268.0,3665.0,0.0,7902.0,15835.0,2011
5,STRASBURG 31J,ADAMS,4441915,3371557,0,6942257,14755729,4663.0,3540.0,0.0,7288.0,15492.0,2011
6,WESTMINSTER 50,ADAMS,50976836,42731800,485730,10856522,105050888,5342.0,4478.0,51.0,1138.0,11008.0,2011
7,ALAMOSA RE-11J,ALAMOSA,9854985,6906565,0,2891497,19653047,4698.0,3293.0,0.0,1378.0,9369.0,2011
8,SANGRE DE CRISTO RE-22J,ALAMOSA,1729715,1699152,0,1014642,4443509,5816.0,5713.0,0.0,3412.0,14941.0,2011
9,ENGLEWOOD 1,ARAPAHOE,17653095,12953157,177585,6414260,37198098,6022.0,4419.0,61.0,2188.0,12690.0,2011
10,SHERIDAN 2,ARAPAHOE,10549826,10061700,52498,4567087,25231110,7083.0,6755.0,35.0,3066.0,16939.0,2011
11,CHERRY CREEK 5,ARAPAHOE,323780400,150242974,1116022,136020063,611159459,6503.0,3018.0,22.0,2732.0,12275.0,2011
12,LITTLETON 6,ARAPAHOE,84782588,52823735,4783,17185358,154796463,5679.0,3539.0,0.0,1151.0,10370.0,2011
13,DEER TRAIL 26J,ARAPAHOE,1370559,1039739,23320,30733,2464351,8724.0,6618.0,148.0,196.0,15687.0,2011
14,ADAMS-ARAPAHOE 28J,ARAPAHOE,194041294,142067306,1350276,262051593,599510470,5309.0,3887.0,37.0,7169.0,16402.0,2011
15,BYERS 32J,ARAPAHOE,2403715,1961002,48645,1085737,5499099,5299.0,4323.0,107.0,2394.0,12123.0,2011
16,ARCHULETA COUNTY 50 JT,ARCHULETA,7239297,6966180,0,940545,15146022,4884.0,4700.0,0.0,635.0,10218.0,2011
17,WALSH RE-1,BACA,1183935,953754,0,18146,2155835,8054.0,6488.0,0.0,123.0,14666.0,2011
18,PRITCHETT RE-3,BACA,694331,609447,0,0,1303777,10332.0,9069.0,0.0,0.0,19401.0,2011
19,SPRINGFIELD RE-4,BACA,1652702,1138387,0,26331,2817420,6121.0,4216.0,0.0,98.0,10435.0,2011
20,VILAS RE-5,BACA,1235157,901414,0,291,2136862,4237.0,3092.0,0.0,1.0,7331.0,2011
21,CAMPO RE-6,BACA,537284,527999,18804,0,1084087,11033.0,10842.0,386.0,0.0,22261.0,2011
22,LAS ANIMAS RE-1,BENT,2708401,2127892,0,483894,5320186,5124.0,4026.0,0.0,915.0,10065.0,2011
23,MCCLAVE RE-2,BENT,1473523,1255272,1364,143959,2874118,5431.0,4627.0,5.0,531.0,10594.0,2011
24,ST VRAIN VALLEY RE 1J,BOULDER,131469112,96330428,769071,109303868,337872480,5033.0,3688.0,29.0,4185.0,12935.0,2011
25,BOULDER VALLEY RE 2,BOULDER,180641258,114267073,4798932,79475218,379182480,6379.0,4035.0,169.0,2807.0,13390.0,2011
26,BUENA VISTA R-31,CHAFFEE,5374699,3789206,0,638703,9802607,5724.0,4035.0,0.0,680.0,10439.0,2011
27,SALIDA R-32,CHAFFEE,6579209,4652874,0,24540583,35772665,6156.0,4353.0,0.0,22961.0,33470.0,2011
28,KIT CARSON R-1,CHEYENNE,1117972,876569,0,91831,2086372,9764.0,7656.0,0.0,802.0,18222.0,2011
