district_name,est_child_poverty,est_total_child,est_total_pop,year,child_pov_ratio,child_adult_ratio
South Routt School District RE-3,43,492,3128,2011,0.08739837398373984,0.15728900255754474
Otis School District R-3,19,137,868,2011,0.1386861313868613,0.1578341013824885
Ouray School District R-1,44,267,1663,2011,0.1647940074906367,0.16055321707757064
Platte Valley School District RE-3,26,119,825,2011,0.2184873949579832,0.14424242424242426
Plateau School District RE-5,10,99,530,2011,0.10101010101010101,0.18679245283018867
Peyton School District 23-JT,154,890,4127,2011,0.17303370786516853,0.21565301671916645
Pritchett School District RE-3,15,49,304,2011,0.30612244897959184,0.1611842105263158
Pueblo City School District 60,5340,18528,109560,2011,0.28821243523316065,0.16911281489594743
Pueblo County School District 70,1382,9786,50699,2011,0.14122215409769057,0.19302155861062348
Rangely School District RE-4,33,461,2849,2011,0.07158351409978309,0.1618111618111618
Ridgway School District R-2,42,317,2348,2011,0.13249211356466878,0.13500851788756388
Garfield School District RE-2,601,5205,24956,2011,0.1154658981748319,0.20856707805738098
Rocky Ford School District R-2,329,966,5510,2011,0.34057971014492755,0.1753176043557169
Mountain Valley School District RE-1,57,155,1393,2011,0.36774193548387096,0.11127063890882986
Salida School District R-32,226,1190,9357,2011,0.1899159663865546,0.12717751416052153
Centennial School District R-1,110,301,1964,2011,0.3654485049833887,0.15325865580448064
Sanford School District 6J,73,311,1372,2011,0.2347266881028939,0.22667638483965014
Sangre de Cristo School District RE-22J,76,257,1248,2011,0.29571984435797666,0.20592948717948717
Sargent School District RE-33J,48,211,1047,2011,0.22748815165876776,0.20152817574021012
Widefield School District 3,1489,9681,47020,2011,0.15380642495609959,0.20589111016588685
Hi-Plains School District R-23,24,93,561,2011,0.25806451612903225,0.1657754010695187
Sheridan School District 2,526,1444,8209,2011,0.36426592797783935,0.17590449506639055
Silverton School District 1,19,89,692,2011,0.21348314606741572,0.12861271676300579
Big Sandy School District 100J,48,358,1858,2011,0.1340782122905028,0.19268030139935413
Springfield School District RE-4,81,305,2002,2011,0.26557377049180325,0.15234765234765235
Steamboat Springs School District RE-2,247,2481,17252,2011,0.09955663039097139,0.14380941340134476
Valley School District RE-1,537,2822,20167,2011,0.19029057406094968,0.13993157137898546
Prairie School District RE-11,12,78,402,2011,0.15384615384615385,0.19402985074626866
Strasburg School District 31J,91,1100,4903,2011,0.08272727272727273,0.22435243728329593
Stratton School District R-4,43,235,1108,2011,0.1829787234042553,0.21209386281588447
Summit School District RE-1,400,3301,27830,2011,0.12117540139351711,0.11861300754581387
Swink School District 33,49,248,1244,2011,0.1975806451612903,0.19935691318327975
Telluride School District R-1,96,780,5972,2011,0.12307692307692308,0.130609511051574
Northglenn-Thornton School District 12,5913,42366,214588,2011,0.13956946608129162,0.1974294927954965
Plainview School District RE-2,17,73,302,2011,0.2328767123287671,0.24172185430463577
Trinidad School District 1,412,1614,10182,2011,0.2552664188351921,0.1585150265173836
Vilas School District RE-5,9,44,239,2011,0.20454545454545456,0.18410041841004185
North Park School District R-1,46,188,1370,2011,0.24468085106382978,0.13722627737226278
Huerfano School District RE-1,242,666,5249,2011,0.3633633633633634,0.12688131072585254
